"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"301",13,"Jason Myers",SEA,"202","0","0","0","0","0","0","0","0"
"302",13,"Will Shipley",PHI,"17.5","0","0","9","56","0","14","49","0"
"303",13,"Cade Klubnik",NYJ,"0","0","0","0","0","0","0","0","0"
"304",13,"Ka'imi Fairbairn",HOU,"194","0","0","0","0","0","0","0","0"
"305",13,"Isaiah Bond",CLE,"54.7","0","0","18","338","0","5","29","0"
"306",13,"Cole Kmet",CHI,"78.7","0","0","30","347","2","0","0","0"
"307",13,"Kansas City Chiefs",KC,"92","0","0","0","0","0","0","0","0"
"308",13,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0"
"309",13,"Baltimore Ravens",BAL,"97","0","0","0","0","0","0","0","0"
"310",13,"Chase McLaughlin",TB,"156","0","0","0","0","0","0","0","0"
"311",13,"Chris Boswell",PIT,"151","0","0","0","0","0","0","0","0"
"312",13,"Evan McPherson",CIN,"136","0","0","0","0","0","0","0","0"
"313",13,"LeQuint Allen Jr.",JAC,"24.8","0","0","10","54","0","23","94","0"
"314",13,"Harrison Butker",KC,"149","0","0","0","0","0","0","0","0"
"315",13,"Trevor Etienne",CAR,"11.7","0","0","3","13","0","20","94","0"
"316",13,"Isaac Guerendo",SF,"0","0","0","0","0","0","0","0","0"
"317",13,"Wil Lutz",DEN,"134","0","0","0","0","0","0","0","0"
"318",13,"Garrett Nussmeier",KC,"0","0","0","0","0","0","0","0","0"
"319",13,"Green Bay Packers",GB,"79","0","0","0","0","0","0","0","0"
"320",13,"Jake Moody",WAS,"81","0","0","0","0","0","0","0","0"
"321",13,"Marcus Mariota",WAS,"132.5","1695","10","0","0","0","50","297","1"
"322",13,"Darius Slayton",NYG,"98.8","0","0","37","538","1","0","0","0"
"323",13,"Tanner Koziol",JAC,"0","0","0","0","0","0","0","0","0"
"324",13,"Caleb Douglas",MIA,"0","0","0","0","0","0","0","0","0"
"325",13,"Jerome Ford",WAS,"43.6","0","0","26","103","0","24","73","0"
"326",13,"Cole Payton",PHI,"0","0","0","0","0","0","0","0","0"
"327",13,"Tahj Brooks",CIN,"6.4","0","0","1","9","0","16","45","0"
"328",13,"Chris Brooks",GB,"32.7","0","0","13","91","0","27","106","0"
"329",13,"Joshua Karty",FA,"58","0","0","0","0","0","0","0","0"
"330",13,"Jacksonville Jaguars",JAC,"144","0","0","0","0","0","0","0","0"
"331",13,"Jake Bates",DET,"152","0","0","0","0","0","0","0","0"
"332",13,"Dont'e Thornton Jr.",LV,"23.5","0","0","10","135","0","0","0","0"
"333",13,"Tyler Loop",BAL,"144","0","0","0","0","0","0","0","0"
"334",13,"Quinn Ewers",MIA,"36.2","622","3","0","0","0","8","19","0"
"335",13,"Jack Endries",CIN,"0","0","0","0","0","0","0","0","0"
"336",13,"Deion Burks",IND,"0","0","0","0","0","0","0","0","0"
"337",13,"Jameis Winston",NYG,"45.3","567","2","0","0","0","7","23","1"
"338",13,"Andrei Iosivas",CIN,"89.9","0","0","33","435","2","3","14","0"
"339",13,"Tyquan Thornton",KC,"80.8","0","0","19","438","3","0","0","0"
