"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"Brycen Tremayne","CAR","3.3","36.1","0.2","0.0","0.0","0.0","0.0","7.8"
"Ben Skowronek","PIT","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.9"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Jalen Reagor","MIA","1.4","17.7","0.1","0.0","0.0","0.0","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.2","11.7","0.1","0.0","1.6"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Gould","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
