"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"179","River Cracraft (SF)","9","1.7","6","41","6.8","0","0","0","0","0","0","9","10.1","1.1","0.0%"
"180","Trent Sherfield Sr. (ARI)","7","1.3","5","50","10.0","1","0","0","0","0","0","15","10.0","0.7","0.0%"
"181","Courtland Sutton (DEN)","6","1.1","3","66","22.0","2","0","0","0","0","0","1","9.6","9.6","91.9%"
"182","Ashton Dulin (IND)","6","1.2","3","53","17.7","1","0","2","11","0","0","13","9.4","0.7","0.1%"
"183","Jake Kumerow (BUF)","1","0.2","1","22","22.0","1","1","0","0","0","0","6","9.2","1.5","0.0%"
"184","Joe Reed (LAC)","1","0.2","0","0","0","0","0","5","29","1","0","11","8.9","0.8","0.0%"
"185","Nick Westbrook-Ikhine (TEN)","8","1.6","3","33","11.0","0","0","0","0","0","0","14","8.3","0.6","1.5%"
"186","Riley Ridley (CHI)","4","0.6","4","39","9.8","0","0","0","0","0","0","5","7.9","1.6","0.0%"
"187","Darrius Shepherd (GB)","8","1.6","5","46","9.2","0","0","0","0","0","1","8","7.6","1.0","0.0%"
"188","Seth Roberts (CAR)","6","1.2","4","31","7.8","0","0","0","0","0","0","7","7.1","1.0","0.0%"
"189","Ted Ginn Jr. (CHI)","6","1","3","40","13.3","1","0","0","0","0","0","5","7.0","1.4","0.0%"
"189","Isaiah Zuber (NE)","2","0.4","2","29","14.5","0","0","2","21","0","0","4","7.0","1.8","0.0%"
"191","Josh Malone (NYJ)","6","1.3","4","16","4.0","0","0","1","12","0","0","4","6.8","1.7","0.0%"
"192","Terry Godwin (JAC)","6","1","3","32","10.7","1","0","1","3","0","0","3","6.5","2.2","0.0%"
"193","Robert Foster (WAS)","6","0.9","2","37","18.5","1","0","0","0","0","0","4","5.7","1.4","0.0%"
"194","Lawrence Cager (NYJ)","6","1.3","2","35","17.5","0","0","0","0","0","0","2","5.5","2.8","0.0%"
"195","Tavon Austin (GB)","5","1","5","20","4.0","0","0","0","0","0","1","4","5.0","1.3","0.6%"
"196","Deontay Burnett (PHI)","4","0.7","3","19","6.3","0","0","0","0","0","0","2","4.9","2.5","0.0%"
"197","Daurice Fountain (IND)","3","0.6","2","23","11.5","0","0","0","0","0","0","5","4.3","0.9","0.0%"
"198","Antonio Callaway (MIA)","4","0.8","2","20","10.0","0","0","0","0","0","0","5","4.0","0.8","0.0%"
"199","John Ross (CIN)","7","1.3","2","17","8.5","0","0","0","0","0","0","3","3.7","1.2","0.1%"
"200","Antonio Gandy-Golden (WAS)","7","1.2","1","3","3.0","0","0","1","22","0","0","6","3.5","0.6","0.0%"
"201","Penny Hart (SEA)","1","0.2","1","3","3.0","0","0","1","19","0","0","13","3.2","0.2","0.0%"
"202","Bennie Fowler III (NO)","6","1.2","2","11","5.5","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"202","Andre Roberts (BUF)","5","1","4","34","8.5","0","0","1","-3","0","2","15","3.1","0.2","0.0%"
"204","Tommylee Lewis (NO)","3","0.6","1","5","5.0","0","0","2","14","0","0","5","2.9","0.6","0.0%"
"204","Donte Moncrief (NE)","2","0.5","1","15","15.0","0","0","1","4","0","0","6","2.9","0.5","0.0%"
"206","Jaleel Scott (NYJ)","1","0.2","1","16","16.0","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"207","James Proche II (BAL)","3","0.9","1","14","14.0","0","0","0","0","0","0","14","2.4","0.2","0.0%"
"208","Vyncint Smith (NYJ)","3","0.6","1","13","13.0","0","0","0","0","0","0","7","2.3","0.3","0.0%"
"208","Keith Kirkwood (CAR)","2","0.4","1","13","13.0","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"210","Cody Hollister (TEN)","1","0.2","1","12","12.0","0","0","0","0","0","0","2","2.2","1.1","0.0%"
"211","Marcus Kemp (MIA)","1","0.2","1","11","11.0","0","0","0","0","0","0","10","2.1","0.2","0.0%"
"212","Gehrig Dieter (KC)","2","0.3","1","10","10.0","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"213","Trenton Irwin (CIN)","2","0.4","1","5","5.0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"214","JoJo Natson (CLE)","0","0","0","0","0","0","0","1","3","0","0","3","0.3","0.1","0.0%"
"215","Tajae Sharpe (MIN)","3","0.6","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"215","Chris Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Marken Michel (CAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Johnny Holton (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Kevin White (SF)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Ty Montgomery II (NO)","6","1.2","3","27","9.0","0","0","19","101","0","0","6","0.0","0.0","0.0%"
"215","Rico Gafford (LV)","2","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Derrick Willies (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Jeff Badet (WAS)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Keelan Doss (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"215","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"215","Malik Turner (DAL)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"215","Hakeem Butler (PHI)","1","0.2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Justin Hardee Sr. (NO)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","1.0%"
"215","Duke Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Taywan Taylor (CLE)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Fred Brown (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Trey Quinn (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Deon Cain (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Cyril Grayson Jr. (TB)","3","0.5","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Deante Burton (DAL)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"215","Tony Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"215","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Reggie Begelton (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.4%"
